"Reason for Credit Entry","Sub Order No","Order Date","Customer State","Product Name","SKU","Size","Quantity","Supplier Listed Price (Incl. GST + Commission)","Supplier Discounted Price (Incl GST and Commision)","Packet Id"
"CANCELLED","115367367705656384_1","2025-01-27","Uttar Pradesh","Rudrav (Pack of 3 Refillable Travel Bottles for Toiletries Silicone Container for Cream, Shampoo Hand Wash, Lotion Storage Bottle Travel Accessories Leak Proof (60 ML)","CSTE_O0390_OT_Toiletry_Bottles","Free Size","1","99.0","99.0",
"DELIVERED","115390476043189377_1","2025-01-27","West Bengal","Rudrav (Pack of 3 Refillable Travel Bottles for Toiletries Silicone Container for Cream, Shampoo Hand Wash, Lotion Storage Bottle Travel Accessories Leak Proof (60 ML)","CSTE_O0390_OT_Toiletry_Bottles","Free Size","1","99.0","99.0",
"DELIVERED","115405006669417473_1","2025-01-27","Rajasthan","Rudrav Garfield Soft Plush Toy for Kids Cuddly Stuffed Animal with Cute Design Ideal Gift for Toddlers & Babies Safe & Washable Material","CSTE_0454_ST_Animal_Garfield_Orange","Free Size","1","599.0","599.0",
"DELIVERED","115405405051714689_1","2025-01-27","Haryana","Rudrav Harry Potter Music Box, Wooden Classic Music Box with Hand Crank Birthday Gifts for Girls Boys Diwali Gifts for Kids Friends Family","32546987","Free Size","1","339.0","339.0",
"DELIVERED","115420390775618625_1","2025-01-27","Uttar Pradesh","Rudrav (Pack of 3 Refillable Travel Bottles for Toiletries Silicone Container for Cream, Shampoo Hand Wash, Lotion Storage Bottle Travel Accessories Leak Proof (60 ML)","CSTE_O0390_OT_Toiletry_Bottles","Free Size","1","99.0","99.0",
"DELIVERED","115448380007803840_1","2025-01-27","Tamil Nadu","Rudrav 66litre Clothes Storage Box Foldable Steel Frame Clothes Organizer Storage Box for Wardrobe, Saree, Shirts, and Blankets (Large, Blue)","CSTE_0417_Organizer_StorageBox_SkyBlue","Free Size","1","299.0","299.0",
"SHIPPED","115457025986685888_1","2025-01-27","Karnataka","Rudrav (Pack of 3 Refillable Travel Bottles for Toiletries Silicone Container for Cream, Shampoo Hand Wash, Lotion Storage Bottle Travel Accessories Leak Proof (60 ML)","CSTE_O0390_OT_Toiletry_Bottles","Free Size","2","99.0","99.0",
"DELIVERED","115468191022719552_1","2025-01-27","Uttar Pradesh","Rudrav (Pack of 3 Refillable Travel Bottles for Toiletries Silicone Container for Cream, Shampoo Hand Wash, Lotion Storage Bottle Travel Accessories Leak Proof (60 ML)","CSTE_O0390_OT_Toiletry_Bottles","Free Size","1","99.0","99.0",
"RTO_LOCKED","115469669499210752_1","2025-01-27","Delhi","Fire style Glasses Sun Glasses Stylish and Trendy party glasses Multicolor | Fire Flame Sunglasses Flame Rimless Sunglasses Rimless Wave Glasses Fire Shape Glasses Eyewear","SG_FireGlass_MercuryPink","Free Size","1","249.0","249.0",
"DELIVERED","115513574469958720_1","2025-01-27","Gujarat","Rudrav (Pack of 3 Refillable Travel Bottles for Toiletries Silicone Container for Cream, Shampoo Hand Wash, Lotion Storage Bottle Travel Accessories Leak Proof (60 ML)","CSTE_O0390_OT_Toiletry_Bottles","Free Size","1","99.0","99.0",
"DELIVERED","115633101287353217_1","2025-01-28","Andhra Pradesh","RUDRAV Minecraft Cow Plush Toys for Collectors - Video Game Kids Room Decor and Halloween Decor - Washable and Cute Gifts for Girls and Boys for Birthday","CSTE_0478_ST_Minecraft_Cow_Brown","Free Size","1","599.0","599.0",
"DELIVERED","115698270286973953_1","2025-01-28","Haryana","Rudrav (Pack of 3 Refillable Travel Bottles for Toiletries Silicone Container for Cream, Shampoo Hand Wash, Lotion Storage Bottle Travel Accessories Leak Proof (60 ML)","CSTE_O0390_OT_Toiletry_Bottles","Free Size","1","99.0","99.0",
"DELIVERED","115701365917121664_1","2025-01-28","Haryana","Rudrav Happy Birthday Red Music Box Wooden Handcrank Music Box For Kids birthday gift","32002561","Free Size","1","199.0","199.0",
"DELIVERED","115720664186514368_1","2025-01-28","Jharkhand","Rudrav Harry Potter Music Box, Wooden Classic Music Box with Hand Crank Birthday Gifts for Girls Boys Diwali Gifts for Kids Friends Family","32546987","Free Size","1","299.0","299.0",
"DELIVERED","115807955320077440_1","2025-01-28","Telangana","Rudrav (Pack of 3 Refillable Travel Bottles for Toiletries Silicone Container for Cream, Shampoo Hand Wash, Lotion Storage Bottle Travel Accessories Leak Proof (60 ML)","CSTE_O0390_OT_Toiletry_Bottles","Free Size","1","99.0","99.0",
"CANCELLED","115838875905326208_1","2025-01-28","Telangana"," Fire style Glasses Sun Glasses Stylish and Trendy party glasses Multicolor | Fire Flame Sunglasses Flame Rimless Sunglasses Rimless Wave Glasses Fire Shape Glasses Eyewear","SG_FireGlass_Green","Free Size","1","199.0","199.0",
"RTO_INITIATED","115843372879323712_1","2025-01-28","Maharashtra","Rudrav Pokemon Soft toy for Kids Gengar Stuffed Animals toys for Children Cartoon character Plush toy","Gengar","Free Size","1","599.0","599.0",
"DELIVERED","115903567337163776_1","2025-01-29","Telangana","Rudrav (Pack of 3 Refillable Travel Bottles for Toiletries Silicone Container for Cream, Shampoo Hand Wash, Lotion Storage Bottle Travel Accessories Leak Proof (60 ML)","CSTE_O0390_OT_Toiletry_Bottles","Free Size","1","99.0","99.0",
"SHIPPED","116017632100252801_1","2025-01-29","Tamil Nadu","Dragon Fly Sunglass cool Sunglass, Rimless Frameless Butterfly Sun glasses Unisex Vintage Eyewear","SG_butterfly_Red&Green","Free Size","1","284.0","284.0",
"DELIVERED","116030289188519040_1","2025-01-29","Andhra Pradesh","Rudrav Harry Potter Music Box, Wooden Classic Music Box with Hand Crank Birthday Gifts for Girls Boys Diwali Gifts for Kids Friends Family","32546987","Free Size","1","339.0","339.0",
"DELIVERED","116040301088500610_1","2025-01-29","Karnataka","Rudrav (Pack of 3 Refillable Travel Bottles for Toiletries Silicone Container for Cream, Shampoo Hand Wash, Lotion Storage Bottle Travel Accessories Leak Proof (60 ML)","CSTE_O0390_OT_Toiletry_Bottles","Free Size","1","99.0","99.0",
"DELIVERED","116041394765851584_1","2025-01-29","Uttar Pradesh","Rudrav Harry Potter Music Box, Wooden Classic Music Box with Hand Crank Birthday Gifts for Girls Boys Diwali Gifts for Kids Friends Family","32546987","Free Size","1","299.0","299.0",
"SHIPPED","116099340455537536_1","2025-01-29","Kerala","Fire Glasses Sun Glasses Stylish and Trendy | Fire Flame Sunglasses Flame Rimless Sunglasses Rimless Wave Glasses Fire Shape Glasses Eyewear for Party","CSTE_0157_SG_FireGlass_Green","Free Size","1","199.0","199.0",
"SHIPPED","116118976160977280_1","2025-01-29","Bihar","Rudrav (Pack of 3 Refillable Travel Bottles for Toiletries Silicone Container for Cream, Shampoo Hand Wash, Lotion Storage Bottle Travel Accessories Leak Proof (60 ML)","CSTE_O0390_OT_Toiletry_Bottles","Free Size","1","99.0","99.0",
"DELIVERED","116146303410491776_1","2025-01-29","West Bengal","Goku Super Saiyyan Anime Series Toys || Goku Super Saiyyan Action Figure|| Rare Antique Merchandise/Statue (Goku Super Sain ) ?","Goku Super Saiyyan Injured01","Free Size","1","599.0","599.0",
"SHIPPED","116150365347709632_1","2025-01-29","Maharashtra","Rudrav 66litre Clothes Storage Box Foldable Steel Frame Clothes Organizer Storage Box for Wardrobe, Saree, Shirts, and Blankets (Large, Blue)","CSTE_0417_Organizer_StorageBox_SkyBlue","Free Size","1","299.0","299.0",
"DELIVERED","116172387540861632_1","2025-01-29","West Bengal","Rudrav Harry Potter Music Box, Wooden Classic Music Box with Hand Crank Birthday Gifts for Girls Boys Diwali Gifts for Kids Friends Family","32546987","Free Size","1","299.0","299.0",
"SHIPPED","116176065583501441_1","2025-01-29","Assam","RUDRAV Fire Sun Glasses Stylish and Trendy | Fire Flame Sunglasses Rimless Sunglasses Rimless Wave Glasses Fire Shape Glasses Eyewear for Party (YELLOW)","1951027540_9","Free Size","1","199.0","199.0",
"CANCELLED","116201125484548800_1","2025-01-29","Tamil Nadu","Gun Toys ","Dolphine bubble shooter gun for kids","Free Size","1","369.0","369.0",
"DELIVERED","116221033995948162_1","2025-01-29","Karnataka","Fusked Wooden Star Wars Black Music Box,Hand Crank Classic Antique Carved Wood Musical Boxes Birthday for Kids Children ? (Wood) (Star Wars_Black","MB_StarWars_|BLK","Free Size","1","199.0","199.0",
"DELIVERED","116221673631674945_1","2025-01-29","Haryana","Rudrav Harry Potter Music Box, Wooden Classic Music Box with Hand Crank Birthday Gifts for Girls Boys Diwali Gifts for Kids Friends Family","32546987","Free Size","1","339.0","339.0",
"DELIVERED","116234426911936646_1","2025-01-29","Telangana","Rudrav (Pack of 3 Refillable Travel Bottles for Toiletries Silicone Container for Cream, Shampoo Hand Wash, Lotion Storage Bottle Travel Accessories Leak Proof (60 ML)","CSTE_O0390_OT_Toiletry_Bottles","Free Size","1","99.0","99.0",
"DELIVERED","116235353685520899_1","2025-01-29","Maharashtra","FUSKED Flufies Sand Filled Rubber Squishy Toy for Kids - Soft Ball for Kids and Stress Relief Toys Adults - Squeeze Ball Toys for Kids - Kawaii Stuff Miniature Toys","CSTE_O0445_OT_Glue_Sand_Rubber_Monkey","Free Size","1","1899.0","1899.0",
"RTO_INITIATED","116238959214096960_1","2025-01-29","Chhattisgarh","Rudrav Harry Potter Wand for Kids Cosplay Magical Wand for Potterheads Kids Birthday Christmas Gift","Harry_wand","Free Size","1","664.0","664.0",
"SHIPPED","116445158777711936_1","2025-01-30","Jharkhand","RUDRAV Breathing Teddy Soft Toys for Baby Girl and Boy - Sensory Toys and Musical Toys for Kids - Sleeping Teddy Bear with Breathing - Baby Gifts Newborn - Baby Toys Cuddle Pillow (Breathing Koala)","CSTE_0533_ST_Animal_Breathing_Koala_Grey","Free Size","1","1199.0","1199.0",
"DELIVERED","116488116621176128_1","2025-01-30","Maharashtra","Rudrav Harry Potter Music Box, Wooden Classic Music Box with Hand Crank Birthday Gifts for Girls Boys Diwali Gifts for Kids Friends Family","32546987","Free Size","1","299.0","299.0",
"CANCELLED","116538345101840512_1","2025-01-30","Madhya Pradesh","RUDRAV Minecraft Steve and 23 cm Sword Combo Plush Toys for Collectors - Video Game Kids Room Decor and Halloween Decor - Gifts for Girls and Boys for Birthday","Minecraft_Small_Sword_Steve","Free Size","1","1399.0","1399.0",
"SHIPPED","116569112435649859_1","2025-01-30","Uttar Pradesh","Rudrav Money Heist Music Box Bella Ciao Theme Song Tune Wooden handcrank Collectable Music Box","CSTE_0205_MB_MHA10_Brown","Free Size","1","169.0","169.0",
"SHIPPED","116570316003765568_1","2025-01-30","Kerala","Dragon Fly Sunglass cool Sunglass, Rimless Frameless Butterfly Sun glasses Unisex Vintage Eyewear","SG_butterfly_Red&Green","Free Size","1","299.0","299.0",
"SHIPPED","116571712745964224_1","2025-01-30","Kerala","Fire Glasses Sun Glasses Stylish and Trendy | Fire Flame Sunglasses Flame Rimless Sunglasses Rimless Wave Glasses Fire Shape Glasses Eyewear for Party","CSTE_0157_SG_FireGlass_Green","Free Size","1","199.0","199.0",
"DELIVERED","116578841773854848_1","2025-01-30","Karnataka","Rudrav (Pack of 3 Refillable Travel Bottles for Toiletries Silicone Container for Cream, Shampoo Hand Wash, Lotion Storage Bottle Travel Accessories Leak Proof (60 ML)","CSTE_O0390_OT_Toiletry_Bottles","Free Size","1","99.0","99.0",
"DELIVERED","116772587224329602_1","2025-01-31","Telangana","Titanic Mb, Music Box Titanic Heart Will Go On Tune Titanic Theme Music Box For Love Gift For Girl Friend Friends Wife Hand Crank Musical Boxes Wooden","Titanic_Brown","Free Size","1","199.0","199.0",
"SHIPPED","116820604052729216_1","2025-01-31","Karnataka","Rudrav (Pack of 3 Refillable Travel Bottles for Toiletries Silicone Container for Cream, Shampoo Hand Wash, Lotion Storage Bottle Travel Accessories Leak Proof (60 ML)","CSTE_O0390_OT_Toiletry_Bottles","Free Size","1","99.0","99.0",
"SHIPPED","116832527326671424_1","2025-01-31","Gujarat","Dragon Fly Sunglass cool Sunglass, Rimless Frameless Butterfly Sun glasses Unisex Vintage Eyewear","SG_butterfly_Red&Green","Free Size","1","299.0","299.0",
"CANCELLED","116846492886790657_1","2025-01-31","Meghalaya","Rudrav Fancy White Faux Fur Mat/Rug for Dogs,Cats,etc | Soft and Big in Size 25x25 Inches | Ticks Free Mat/Rug | Made in India ( White, 25*25 Inches) ","78945615","Free Size","1","369.0","369.0",
"CANCELLED","116917903970792000_1","2025-01-31","Karnataka","Rudrav (Pack of 3 Refillable Travel Bottles for Toiletries Silicone Container for Cream, Shampoo Hand Wash, Lotion Storage Bottle Travel Accessories Leak Proof (60 ML)","CSTE_O0390_OT_Toiletry_Bottles","Free Size","1","99.0","99.0",
"DELIVERED","116950333662757568_1","2025-01-31","Haryana","Rudrav Harry Potter Music Box, Wooden Classic Music Box with Hand Crank Birthday Gifts for Girls Boys Diwali Gifts for Kids Friends Family","32546987","Free Size","1","339.0","339.0",
"SHIPPED","117059656857276544_1","2025-02-01","Telangana","Rudrav (Pack of 3 Refillable Travel Bottles for Toiletries Silicone Container for Cream, Shampoo Hand Wash, Lotion Storage Bottle Travel Accessories Leak Proof (60 ML)","CSTE_O0390_OT_Toiletry_Bottles","Free Size","1","99.0","99.0",
"SHIPPED","117074421839155328_1","2025-02-01","Andhra Pradesh","Sunglasses","586379476_16","Free Size","1","284.0","284.0",
"SHIPPED","117149798162878593_1","2025-02-01","West Bengal","Sunglasses","586379476_16","Free Size","1","284.0","284.0",
"SHIPPED","117180129255649856_1","2025-02-01","Madhya Pradesh"," Fire style Glasses Sun Glasses Stylish and Trendy party glasses Multicolor | Fire Flame Sunglasses Flame Rimless Sunglasses Rimless Wave Glasses Fire Shape Glasses Eyewear","SG_FireGlass_Green","Free Size","1","199.0","199.0",
"READY_TO_SHIP","117217948128801346_1","2025-02-01","Telangana","Rudrav (Pack of 3 Refillable Travel Bottles for Toiletries Silicone Container for Cream, Shampoo Hand Wash, Lotion Storage Bottle Travel Accessories Leak Proof (60 ML)","CSTE_O0390_OT_Toiletry_Bottles","Free Size","2","99.0","99.0",
"SHIPPED","117259385402847808_1","2025-02-01","Uttar Pradesh","Rudrav Fancy White Faux Fur Mat/Rug for Dogs,Cats,etc | Soft and Big in Size 25x25 Inches | Ticks Free Mat/Rug | Made in India ( White, 25*25 Inches) ","78945615","Free Size","1","369.0","369.0",
"SHIPPED","117299653107674496_1","2025-02-01","Punjab","Rudrav (Pack of 3 Refillable Travel Bottles for Toiletries Silicone Container for Cream, Shampoo Hand Wash, Lotion Storage Bottle Travel Accessories Leak Proof (60 ML)","CSTE_O0390_OT_Toiletry_Bottles","Free Size","1","99.0","99.0",
